"#";"Url";"Google index";"Google cachedate"
"154";"https://www.ebay.com.au/itm/126092740487";"error";"error"
"155";"https://downshiftology.com/recipes/microwave-popcorn/";"error";"error"
"156";"https://littlenightmares.fandom.com/wiki/Mono";"error";"error"
"157";"https://antz-consulting.de/ysvwaoya/kurt-geiger-bags-blue";"error";"error"
"158";"https://www.drapersonline.com/news/ms-swapping-plastic-bags-for-paper-across-all-stores";"error";"error"
"159";"https://www.granthamjournal.co.uk/news/retailer-ditches-plastic-bags-for-paper-ones-in-all-stores-a-9330942/";"error";"error"
"160";"https://www.edie.net/ms-switches-from-plastic-bags-for-life-to-paper-options/";"error";"error"
"161";"https://www.fenlandcitizen.co.uk/news/m-s-ditches-plastic-bags-for-paper-ones-in-all-stores-and-fo-9330971/";"error";"error"
"162";"https://www.retailgazette.co.uk/blog/2023/09/ms-paper-bags/";"error";"error"
"163";"https://books.google.be/books?id=WX9KDwAAQBAJ&pg=PT40&lpg=PT40&dq=%22paper+bag%22&source=bl&ots=OSdP1RaFOQ&sig=ACfU3U02y9T5xfcQFNFPnZR-aKUpMMJ8uw&hl=en&sa=X&ved=2ahUKEwjOrKm467aBAxVPQvEDHV0sDrQ4oAEQ6AF6BAgFEAM";"error";"error"
"164";"https://books.google.be/books?id=ucrLwqm132gC&pg=PA28&lpg=PA28&dq=%22paper+bag%22&source=bl&ots=JNhw-nvpGZ&sig=ACfU3U0tyDeJAKKGhGB1rqdBSewirx4qLQ&hl=en&sa=X&ved=2ahUKEwjOrKm467aBAxVPQvEDHV0sDrQ4oAEQ6AF6BAgEEAM";"error";"error"
"165";"https://www.newarkadvertiser.co.uk/news/m-s-ditches-plastic-bags-for-paper-ones-in-all-stores-and-fo-9330922/";"error";"error"
"166";"https://books.google.be/books?id=nmYtbL75RVEC&pg=PA31&lpg=PA31&dq=%22paper+bag%22&source=bl&ots=RL8ofKZVDI&sig=ACfU3U030Tt6pddmqYJZHHYJkZ2I71_4BQ&hl=en&sa=X&ved=2ahUKEwjOrKm467aBAxVPQvEDHV0sDrQ4oAEQ6AF6BAgHEAM";"error";"error"
"167";"https://books.google.be/books?id=XEV7ZwayBykC&pg=PA4&lpg=PA4&dq=%22paper+bag%22&source=bl&ots=E3rUQXBOTk&sig=ACfU3U1ZqL8N0t0mDjRMqsm1y1PruN-bAA&hl=en&sa=X&ved=2ahUKEwjOrKm467aBAxVPQvEDHV0sDrQ4oAEQ6AF6BAgIEAM";"error";"error"
"168";"https://www.glamour.es/articulos/katie-holmes-falda-paper-bag-tendencia";"error";"error"
"169";"https://support.epson.net/fun/";"error";"error"
"170";"https://www.medicalnewstoday.com/articles/9896";"error";"error"
"171";"https://www.carousell.com.my/p/blackpink-x-starbucks-apron-t-shirt-stickers-paper-bag-1255268641/";"error";"error"
